,Area Abbreviation,Area Code,Area,Image URL,Item Code,Item,Element Code,Element,Unit,latitude,longitude,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013
74,AFG,2,Afghanistan,https://www.countryflags.io/af/flat/64.png,2924,Alcoholic Beverages,5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,3,4,3,3,3,3,3,3,3
195,ALB,3,Albania,https://www.countryflags.io/al/flat/64.png,2924,Alcoholic Beverages,5142,Food,1000 tonnes,41.15,20.17,13,14,13,14,13,12,14,17,20,19,15,21,23,22,19,18,19,23,21,19,27,23,26,25,25,30,34,37,39,49,17,14,31,66,66,62,41,33,51,52,66,53,54,70,71,80,90,89,85,108,121,116,119
320,DZA,4,Algeria,https://www.countryflags.io/dz/flat/64.png,2924,Alcoholic Beverages,5142,Food,1000 tonnes,28.03,1.66,96,72,46,38,39,43,49,53,57,62,63,66,71,65,44,61,64,62,60,63,66,69,47,53,53,51,50,51,51,53,50,59,73,81,96,73,67,66,64,101,106,110,121,115,130,137,145,158,147,149,157,166,196
427,AGO,7,Angola,https://www.countryflags.io/ao/flat/64.png,2924,Alcoholic Beverages,5142,Food,1000 tonnes,-11.2,17.87,128,122,137,145,156,176,167,173,187,190,187,183,198,178,130,140,120,121,119,120,157,132,106,127,121,114,116,111,138,148,141,185,142,165,164,190,249,237,212,222,336,401,418,506,571,746,772,1019,1149,1342,1482,1760,1761
545,ATG,8,Antigua and Barbuda,https://www.countryflags.io/ag/flat/64.png,2924,Alcoholic Beverages,5142,Food,1000 tonnes,17.06,-61.8,0,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,0,0,0,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,3,3,2,2,3,2,3
668,ARG,9,Argentina,https://www.countryflags.io/ar/flat/64.png,2924,Alcoholic Beverages,5142,Food,1000 tonnes,-38.42,-63.62,1919,2089,2206,2186,2323,2239,2375,2511,2570,2672,2569,2462,2324,2520,2718,2778,2796,2670,2467,2553,2520,2515,2539,2522,2390,2528,2539,2398,2395,2442,2675,2776,2733,2703,2586,2600,2746,2588,2553,2536,2506,2441,2568,2436,2502,2553,2620,2838,2818,2760,2726,2730,2950
801,ARM,1,Armenia,https://www.countryflags.io/am/flat/64.png,2924,Alcoholic Beverages,5142,Food,1000 tonnes,40.07,45.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,36,44,24,25,25,24,23,19,19,16,14,24,25,27,27,27,31,33,23,17,24
928,AUS,10,Australia,https://www.countryflags.io/au/flat/64.png,2924,Alcoholic Beverages,5142,Food,1000 tonnes,-25.27,133.78,1141,1172,1237,1306,1334,1355,1428,1513,1605,1695,1760,1813,1903,2084,2155,2137,2172,2237,2224,2212,2274,2277,2280,2173,2202,2213,2182,2177,2236,2224,2193,2164,2112,2090,2068,2054,2098,2108,2141,2167,2211,2164,2187,2236,2311,2297,2316,2250,2418,2298,2416,2488,2610
1067,AUT,11,Austria,https://www.countryflags.io/at/flat/64.png,2924,Alcoholic Beverages,5142,Food,1000 tonnes,47.52,14.55,778,808,914,932,970,988,1035,1003,1022,1052,1101,1120,1106,1088,1099,1098,1095,1084,1094,1099,1114,1161,1168,1135,1184,1189,1196,1249,1255,1248,1293,1256,1212,1226,1215,1196,1226,1212,1233,1192,1183,1200,1201,1182,1205,1211,1191,1151,1193,1174,1202,1172,1222
1193,AZE,52,Azerbaijan,https://www.countryflags.io/az/flat/64.png,2924,Alcoholic Beverages,5142,Food,1000 tonnes,40.14,47.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,54,43,42,55,26,26,122,161,188,182,183,228,297,374,458,406,449,475,488,555,616
