,Area Abbreviation,Area Code,Area,Item Code,Item,Element Code,Element,Unit,latitude,longitude,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013
44,AFG,2,Afghanistan,2655,Wine,5142,Food,1000 tonnes,33.94,67.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
149,ALB,3,Albania,2655,Wine,5142,Food,1000 tonnes,41.15,20.17,3.0,4.0,2.0,2.0,2.0,0.0,2.0,3.0,5.0,5.0,1.0,5.0,6.0,4.0,1.0,1.0,2.0,4.0,2.0,0.0,7.0,3.0,6.0,5.0,1.0,4.0,7.0,10.0,12.0,25.0,6.0,7.0,7.0,7.0,19.0,31.0,17.0,11.0,13.0,8.0,15.0,7.0,11.0,15.0,19.0,19.0,20.0,19.0,20.0,23.0,24.0,24,25
276,DZA,4,Algeria,2655,Wine,5142,Food,1000 tonnes,28.03,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
384,AGO,7,Angola,2655,Wine,5142,Food,1000 tonnes,-11.2,17.87,68.0,49.0,61.0,74.0,86.0,94.0,85.0,81.0,81.0,73.0,55.0,45.0,40.0,42.0,20.0,10.0,5.0,1.0,6.0,9.0,14.0,11.0,16.0,18.0,27.0,11.0,8.0,20.0,29.0,30.0,37.0,60.0,35.0,38.0,30.0,27.0,46.0,53.0,24.0,25.0,38.0,40.0,50.0,58.0,75.0,86.0,88.0,116.0,80.0,91.0,95.0,103,100
502,ATG,8,Antigua and Barbuda,2655,Wine,5142,Food,1000 tonnes,17.06,-61.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1
622,ARG,9,Argentina,2655,Wine,5142,Food,1000 tonnes,-38.42,-63.62,1642.0,1800.0,1932.0,1914.0,1969.0,1914.0,2029.0,2120.0,2163.0,2276.0,2163.0,2044.0,1905.0,2055.0,2217.0,2311.0,2353.0,2222.0,2066.0,2107.0,2102.0,2100.0,2055.0,1981.0,1855.0,1856.0,1838.0,1786.0,1723.0,1771.0,1781.0,1678.0,1572.0,1441.0,1389.0,1337.0,1352.0,1269.0,1261.0,1251.0,1205.0,1200.0,1235.0,1113.0,1099.0,1112.0,1117.0,1068.0,1035.0,976.0,982.0,1008,1038
753,ARM,1,Armenia,2655,Wine,5142,Food,1000 tonnes,40.07,45.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,28.0,24.0,10.0,8.0,5.0,2.0,6.0,4.0,6.0,4.0,2.0,7.0,7.0,4.0,3.0,3.0,4.0,5.0,6.0,4,4
881,AUS,10,Australia,2655,Wine,5142,Food,1000 tonnes,-25.27,133.78,51.0,52.0,55.0,59.0,60.0,63.0,72.0,83.0,94.0,111.0,111.0,117.0,130.0,149.0,169.0,181.0,194.0,204.0,239.0,255.0,272.0,289.0,302.0,317.0,335.0,344.0,338.0,339.0,319.0,311.0,306.0,324.0,320.0,328.0,328.0,329.0,348.0,365.0,374.0,390.0,399.0,402.0,421.0,437.0,457.0,464.0,487.0,485.0,513.0,536.0,456.0,458,455
1018,AUT,11,Austria,2655,Wine,5142,Food,1000 tonnes,47.52,14.55,167.0,170.0,217.0,227.0,226.0,235.0,247.0,249.0,258.0,270.0,269.0,278.0,269.0,268.0,276.0,274.0,266.0,271.0,271.0,265.0,265.0,284.0,277.0,260.0,249.0,259.0,262.0,271.0,272.0,265.0,263.0,264.0,251.0,259.0,256.0,244.0,252.0,251.0,253.0,250.0,231.0,242.0,228.0,246.0,266.0,270.0,244.0,246.0,269.0,257.0,260.0,250,269
1149,AZE,52,Azerbaijan,2655,Wine,5142,Food,1000 tonnes,40.14,47.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,2
