,Area Abbreviation,Area Code,Area,Item Code,Item,Element Code,Element,Unit,latitude,longitude,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013
0,AFG,2,Afghanistan,2924,Alcoholic Beverages,5142,Food,1000 tonnes,33.94,67.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3,3
173,AFG,2,Afghanistan,2655,Wine,5142,Food,1000 tonnes,33.94,67.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
174,ALB,3,Albania,2655,Wine,5142,Food,1000 tonnes,41.15,20.17,3.0,4.0,2.0,2.0,2.0,0.0,2.0,3.0,5.0,5.0,1.0,5.0,6.0,4.0,1.0,1.0,2.0,4.0,2.0,0.0,7.0,3.0,6.0,5.0,1.0,4.0,7.0,10.0,12.0,25.0,6.0,7.0,7.0,7.0,19.0,31.0,17.0,11.0,13.0,8.0,15.0,7.0,11.0,15.0,19.0,19.0,20.0,19.0,20.0,23.0,24.0,24,25
1,ALB,3,Albania,2924,Alcoholic Beverages,5142,Food,1000 tonnes,41.15,20.17,13.0,14.0,13.0,14.0,13.0,12.0,14.0,17.0,20.0,19.0,15.0,21.0,23.0,22.0,19.0,18.0,19.0,23.0,21.0,19.0,27.0,23.0,26.0,25.0,25.0,30.0,34.0,37.0,39.0,49.0,17.0,14.0,31.0,66.0,66.0,62.0,41.0,33.0,51.0,52.0,66.0,53.0,54.0,70.0,71.0,80.0,90.0,89.0,85.0,108.0,121.0,116,119
2,DZA,4,Algeria,2924,Alcoholic Beverages,5142,Food,1000 tonnes,28.03,1.66,96.0,72.0,46.0,38.0,39.0,43.0,49.0,53.0,57.0,62.0,63.0,66.0,71.0,65.0,44.0,61.0,64.0,62.0,60.0,63.0,66.0,69.0,47.0,53.0,53.0,51.0,50.0,51.0,51.0,53.0,50.0,59.0,73.0,81.0,96.0,73.0,67.0,66.0,64.0,101.0,106.0,110.0,121.0,115.0,130.0,137.0,145.0,158.0,147.0,149.0,157.0,166,196
175,DZA,4,Algeria,2655,Wine,5142,Food,1000 tonnes,28.03,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
176,AGO,7,Angola,2655,Wine,5142,Food,1000 tonnes,-11.2,17.87,68.0,49.0,61.0,74.0,86.0,94.0,85.0,81.0,81.0,73.0,55.0,45.0,40.0,42.0,20.0,10.0,5.0,1.0,6.0,9.0,14.0,11.0,16.0,18.0,27.0,11.0,8.0,20.0,29.0,30.0,37.0,60.0,35.0,38.0,30.0,27.0,46.0,53.0,24.0,25.0,38.0,40.0,50.0,58.0,75.0,86.0,88.0,116.0,80.0,91.0,95.0,103,100
3,AGO,7,Angola,2924,Alcoholic Beverages,5142,Food,1000 tonnes,-11.2,17.87,128.0,122.0,137.0,145.0,156.0,176.0,167.0,173.0,187.0,190.0,187.0,183.0,198.0,178.0,130.0,140.0,120.0,121.0,119.0,120.0,157.0,132.0,106.0,127.0,121.0,114.0,116.0,111.0,138.0,148.0,141.0,185.0,142.0,165.0,164.0,190.0,249.0,237.0,212.0,222.0,336.0,401.0,418.0,506.0,571.0,746.0,772.0,1019.0,1149.0,1342.0,1482.0,1760,1761
177,ATG,8,Antigua and Barbuda,2655,Wine,5142,Food,1000 tonnes,17.06,-61.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1
4,ATG,8,Antigua and Barbuda,2924,Alcoholic Beverages,5142,Food,1000 tonnes,17.06,-61.8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2,3
5,ARG,9,Argentina,2924,Alcoholic Beverages,5142,Food,1000 tonnes,-38.42,-63.62,1919.0,2089.0,2206.0,2186.0,2323.0,2239.0,2375.0,2511.0,2570.0,2672.0,2569.0,2462.0,2324.0,2520.0,2718.0,2778.0,2796.0,2670.0,2467.0,2553.0,2520.0,2515.0,2539.0,2522.0,2390.0,2528.0,2539.0,2398.0,2395.0,2442.0,2675.0,2776.0,2733.0,2703.0,2586.0,2600.0,2746.0,2588.0,2553.0,2536.0,2506.0,2441.0,2568.0,2436.0,2502.0,2553.0,2620.0,2838.0,2818.0,2760.0,2726.0,2730,2950
178,ARG,9,Argentina,2655,Wine,5142,Food,1000 tonnes,-38.42,-63.62,1642.0,1800.0,1932.0,1914.0,1969.0,1914.0,2029.0,2120.0,2163.0,2276.0,2163.0,2044.0,1905.0,2055.0,2217.0,2311.0,2353.0,2222.0,2066.0,2107.0,2102.0,2100.0,2055.0,1981.0,1855.0,1856.0,1838.0,1786.0,1723.0,1771.0,1781.0,1678.0,1572.0,1441.0,1389.0,1337.0,1352.0,1269.0,1261.0,1251.0,1205.0,1200.0,1235.0,1113.0,1099.0,1112.0,1117.0,1068.0,1035.0,976.0,982.0,1008,1038
179,ARM,1,Armenia,2655,Wine,5142,Food,1000 tonnes,40.07,45.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,28.0,24.0,10.0,8.0,5.0,2.0,6.0,4.0,6.0,4.0,2.0,7.0,7.0,4.0,3.0,3.0,4.0,5.0,6.0,4,4
6,ARM,1,Armenia,2924,Alcoholic Beverages,5142,Food,1000 tonnes,40.07,45.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,36.0,44.0,24.0,25.0,25.0,24.0,23.0,19.0,19.0,16.0,14.0,24.0,25.0,27.0,27.0,27.0,31.0,33.0,23.0,17,24
7,AUS,10,Australia,2924,Alcoholic Beverages,5142,Food,1000 tonnes,-25.27,133.78,1141.0,1172.0,1237.0,1306.0,1334.0,1355.0,1428.0,1513.0,1605.0,1695.0,1760.0,1813.0,1903.0,2084.0,2155.0,2137.0,2172.0,2237.0,2224.0,2212.0,2274.0,2277.0,2280.0,2173.0,2202.0,2213.0,2182.0,2177.0,2236.0,2224.0,2193.0,2164.0,2112.0,2090.0,2068.0,2054.0,2098.0,2108.0,2141.0,2167.0,2211.0,2164.0,2187.0,2236.0,2311.0,2297.0,2316.0,2250.0,2418.0,2298.0,2416.0,2488,2610
180,AUS,10,Australia,2655,Wine,5142,Food,1000 tonnes,-25.27,133.78,51.0,52.0,55.0,59.0,60.0,63.0,72.0,83.0,94.0,111.0,111.0,117.0,130.0,149.0,169.0,181.0,194.0,204.0,239.0,255.0,272.0,289.0,302.0,317.0,335.0,344.0,338.0,339.0,319.0,311.0,306.0,324.0,320.0,328.0,328.0,329.0,348.0,365.0,374.0,390.0,399.0,402.0,421.0,437.0,457.0,464.0,487.0,485.0,513.0,536.0,456.0,458,455
8,AUT,11,Austria,2924,Alcoholic Beverages,5142,Food,1000 tonnes,47.52,14.55,778.0,808.0,914.0,932.0,970.0,988.0,1035.0,1003.0,1022.0,1052.0,1101.0,1120.0,1106.0,1088.0,1099.0,1098.0,1095.0,1084.0,1094.0,1099.0,1114.0,1161.0,1168.0,1135.0,1184.0,1189.0,1196.0,1249.0,1255.0,1248.0,1293.0,1256.0,1212.0,1226.0,1215.0,1196.0,1226.0,1212.0,1233.0,1192.0,1183.0,1200.0,1201.0,1182.0,1205.0,1211.0,1191.0,1151.0,1193.0,1174.0,1202.0,1172,1222
181,AUT,11,Austria,2655,Wine,5142,Food,1000 tonnes,47.52,14.55,167.0,170.0,217.0,227.0,226.0,235.0,247.0,249.0,258.0,270.0,269.0,278.0,269.0,268.0,276.0,274.0,266.0,271.0,271.0,265.0,265.0,284.0,277.0,260.0,249.0,259.0,262.0,271.0,272.0,265.0,263.0,264.0,251.0,259.0,256.0,244.0,252.0,251.0,253.0,250.0,231.0,242.0,228.0,246.0,266.0,270.0,244.0,246.0,269.0,257.0,260.0,250,269
182,AZE,52,Azerbaijan,2655,Wine,5142,Food,1000 tonnes,40.14,47.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,6.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,2
9,AZE,52,Azerbaijan,2924,Alcoholic Beverages,5142,Food,1000 tonnes,40.14,47.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,54.0,43.0,42.0,55.0,26.0,26.0,122.0,161.0,188.0,182.0,183.0,228.0,297.0,374.0,458.0,406.0,449.0,475.0,488.0,555,616
183,AZE,12,Bahamas,2655,Wine,5142,Food,1000 tonnes,25.03,-77.4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2
10,AZE,12,Bahamas,2924,Alcoholic Beverages,5142,Food,1000 tonnes,25.03,-77.4,5.0,4.0,5.0,6.0,7.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,11.0,11.0,12.0,13.0,12.0,12.0,13.0,14.0,12.0,13.0,12.0,12.0,11.0,10.0,10.0,9.0,10.0,9.0,9.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9,8
