dates,-,ChinaData,USAData,BrazilData,RussiaData,NigeriaData,Germany
1,Y1961,683,12623,858,,1838,7599
2,Y1962,905,12929,973,,1935,8176
3,Y1963,825,13408,932,,1944,8798
4,Y1964,857,13993,877,,2004,9563
5,Y1965,997,14429,1104,,1980,9731
6,Y1966,1109,15131,1203,,1973,10157
7,Y1967,1030,15550,1187,,2030,10261
8,Y1968,1137,16355,1245,,2089,10692
9,Y1969,1267,17064,1325,,2142,11351
10,Y1970,1385,18195,1352,,2545,12194
11,Y1971,1398,18631,1495,,2625,12348
12,Y1972,1520,19319,1473,,2726,12744
13,Y1973,1751,20262,1644,,3386,13304
14,Y1974,1857,21227,1714,,3791,12863
15,Y1975,2422,21550,1758,,4030,13302
16,Y1976,2489,22323,1933,,4416,13627
17,Y1977,2339,23216,2167,,4805,13702
18,Y1978,2889,24179,2652,,4817,13229
19,Y1979,2605,25310,2858,,5285,13471
20,Y1980,4523,26516,2883,,5497,13284
21,Y1981,4508,26862,2965,,5667,13772
22,Y1982,5185,26785,3147,,6026,14654
23,Y1983,6174,27142,3257,,5455,14162
24,Y1984,7032,26988,3304,,5525,13488
25,Y1985,8357,27238,3443,,5613,13287
26,Y1986,10240,27244,4182,,5780,13791
27,Y1987,12372,27757,4097,,6008,13583
28,Y1988,14030,27981,4441,,5667,13629
29,Y1989,13278,27229,5061,,5807,14145
30,Y1990,14283,27696,5187,,5744,13750
31,Y1991,15899,27498,6300,,6054,13957
32,Y1992,18075,27174,5209,5249,6110,14255
33,Y1993,20872,27535,5254,5264,6158,12716
34,Y1994,22791,27551,6078,4452,6355,12923
35,Y1995,26568,27338,7775,4512,6410,12610
36,Y1996,25890,27595,7320,3569,7043,12479
37,Y1997,28313,27862,7647,4088,7587,12325
38,Y1998,28381,28075,7588,4877,8121,12453
39,Y1999,29002,28398,7250,6132,8430,12649
40,Y2000,30270,28918,9757,6931,8610,12465
41,Y2001,32926,29186,10115,8414,8590,12297
42,Y2002,34392,30027,8987,9143,8946,12001
43,Y2003,34744,29627,8644,9845,9277,11308
44,Y2004,39583,29971,9755,10843,9492,11326
45,Y2005,41630,30296,9989,11678,9604,11123
46,Y2006,46051,30543,10283,12348,9673,11746
47,Y2007,51077,30618,10659,14049,9926,11570
48,Y2008,53201,30397,11700,13875,10105,11156
49,Y2009,53539,30026,11650,13402,10214,11010
50,Y2010,56364,30147,13850,12691,10349,10434
51,Y2011,59905,29713,14392,12601,10574,10792
52,Y2012,59483,30494,14312,12433,11007,10712
53,Y2013,62397,30053,14512,11395,11218,10575
